mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.5616820812225342,0.05291517966840072,0.10649633407592773,0.01775258758702885,7,1,2,100,"{'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8392857142857143,0.8348623853211009,0.8378378378378378,0.8803418803418803,0.8810572687224669,0.8546770173018,0.021296350269314774,22,0.9649890590809628,0.9623893805309734,0.963855421686747,0.9706840390879479,0.9586956521739131,0.9641227105121087,0.003907183918597218
1.1615791320800781,0.20592860164954596,0.16270790100097657,0.0505720404360423,7,1,2,200,"{'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8392857142857143,0.8440366972477065,0.8584474885844748,0.8803418803418803,0.875,0.8594223560919552,0.016269251319778973,18,0.9660460021905805,0.9658965896589659,0.9548954895489549,0.9706840390879479,0.9616648411829135,0.9638373923338726,0.005304195072136033
0.653313159942627,0.07896776020439857,0.09196310043334961,0.011110385865221686,7,1,10,100,"{'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.8340807174887892,0.8387096774193549,0.8532110091743119,0.8841201716738197,0.88,0.8580243151512551,0.02065644435222044,19,0.9407894736842105,0.9411764705882353,0.9405286343612335,0.9527991218441273,0.9377049180327869,0.9425997237021188,0.0052455487913310875
1.0976937294006348,0.08427794770213506,0.16324939727783203,0.019915706804302477,7,1,10,200,"{'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.832579185520362,0.8411214953271028,0.8518518518518519,0.8793103448275862,0.875,0.8559725755053806,0.01839282469180021,21,0.9427312775330396,0.9402654867256637,0.9392265193370166,0.9460946094609461,0.9452954048140044,0.9427226595741341,0.0026925762140565307
0.8049156188964843,0.12738605096011163,0.126995849609375,0.059805754671690976,7,2,2,100,"{'max_depth': 7, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.8355555555555556,0.8387096774193549,0.8532110091743119,0.8728813559322034,0.8878923766816144,0.8576499949526081,0.020065893875948166,20,0.9664138678223185,0.9547960308710033,0.9507119386637459,0.9651416122004357,0.9551912568306011,0.9584509412776209,0.006197569697643708
1.0833611011505127,0.08363524698166289,0.13657875061035157,0.030793017004462735,7,2,2,200,"{'max_depth': 7, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.8303571428571429,0.8372093023255814,0.8518518518518519,0.8680851063829788,0.8699551569506726,0.8514917120736456,0.015918708969452345,24,0.9585152838427947,0.9515418502202643,0.9459757442116868,0.9619978284473398,0.9508196721311475,0.9537700757706465,0.005738194645481357
0.6101865768432617,0.11987240757706175,0.1503230094909668,0.05853439673155795,7,2,10,100,"{'max_depth': 7, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.8288288288288288,0.8558139534883721,0.8532110091743119,0.8755364806866953,0.8839285714285714,0.859463768721356,0.01922382031142906,17,0.9393605292171996,0.9413067552602437,0.9427312775330396,0.9493392070484582,0.936542669584245,0.941856087728637,0.004278434825269732
1.1152035236358642,0.131677655671911,0.14030938148498534,0.03344792086295157,7,2,10,200,"{'max_depth': 7, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.832579185520362,0.8372093023255814,0.8532110091743119,0.8706896551724138,0.8789237668161435,0.8545225838017625,0.018109525674727452,23,0.9358407079646017,0.9394939493949395,0.9390919158361019,0.9485213581599123,0.9419496166484118,0.9409795096007935,0.004242588101014964
0.5852876663208008,0.07917934063395143,0.12730717658996582,0.03261819020551561,10,1,2,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8695652173913043,0.867579908675799,0.875,0.8813559322033898,0.8648648648648649,0.8716731846270716,0.005871540735054773,16,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0758887767791747,0.1838639482806202,0.13880271911621095,0.02382280859466851,10,1,2,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8596491228070176,0.8727272727272727,0.8622222222222222,0.8879668049792531,0.8888888888888888,0.8742908623249308,0.012349989550727308,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
