mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.022103261947631837,0.015362533189742062,0.018423986434936524,0.007581128975896677,3,1,2,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.7777777777777778,0.7766990291262136,0.7549019607843137,0.7791164658634538,0.8547008547008547,0.7886392176505227,0.0342156811135765,97,0.8267270668176671,0.8103651354534747,0.7926829268292683,0.8401253918495298,0.831858407079646,0.8203517856059171,0.016907637205803912
0.019859170913696288,0.004811634488779615,0.014150190353393554,0.0024904726945214274,3,1,5,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.7777777777777778,0.7766990291262136,0.7549019607843137,0.7791164658634538,0.8547008547008547,0.7886392176505227,0.0342156811135765,97,0.8267270668176671,0.8103651354534747,0.7926829268292683,0.8401253918495298,0.831858407079646,0.8203517856059171,0.016907637205803912
0.012935113906860352,0.0022006690500148774,0.010426902770996093,0.0019723495074174,3,1,10,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.7777777777777778,0.7766990291262136,0.7549019607843137,0.7791164658634538,0.8547008547008547,0.7886392176505227,0.0342156811135765,97,0.8267270668176671,0.8103651354534747,0.7926829268292683,0.8401253918495298,0.831858407079646,0.8203517856059171,0.016907637205803912
0.010917186737060547,0.0014251558185102236,0.009375,0.0009036224258131652,3,1,20,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 20}",0.7777777777777778,0.7766990291262136,0.7549019607843137,0.7791164658634538,0.8547008547008547,0.7886392176505227,0.0342156811135765,97,0.8267270668176671,0.8103651354534747,0.7926829268292683,0.8401253918495298,0.831858407079646,0.8203517856059171,0.016907637205803912
0.010617971420288086,0.0006480703974172674,0.009200382232666015,0.0009594829735424154,3,2,2,"{'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.7777777777777778,0.7766990291262136,0.7549019607843137,0.7791164658634538,0.8547008547008547,0.7886392176505227,0.0342156811135765,97,0.8267270668176671,0.8103651354534747,0.7926829268292683,0.8401253918495298,0.831858407079646,0.8203517856059171,0.016907637205803912
0.012607526779174805,0.0030893251837966697,0.024029111862182616,0.02503807599575221,3,2,5,"{'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.7777777777777778,0.7766990291262136,0.7549019607843137,0.7791164658634538,0.8547008547008547,0.7886392176505227,0.0342156811135765,97,0.8267270668176671,0.8103651354534747,0.7926829268292683,0.8401253918495298,0.831858407079646,0.8203517856059171,0.016907637205803912
0.016398906707763672,0.006992838711904616,0.013403511047363282,0.004636120108055642,3,2,10,"{'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.7777777777777778,0.7766990291262136,0.7549019607843137,0.7791164658634538,0.8547008547008547,0.7886392176505227,0.0342156811135765,97,0.8267270668176671,0.8103651354534747,0.7926829268292683,0.8401253918495298,0.831858407079646,0.8203517856059171,0.016907637205803912
0.018265581130981444,0.007482088107560381,0.01607089042663574,0.004383451318636125,3,2,20,"{'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 20}",0.7777777777777778,0.7766990291262136,0.7549019607843137,0.7791164658634538,0.8547008547008547,0.7886392176505227,0.0342156811135765,97,0.8267270668176671,0.8103651354534747,0.7926829268292683,0.8401253918495298,0.831858407079646,0.8203517856059171,0.016907637205803912
0.019362401962280274,0.007638286542830325,0.037553596496582034,0.029608965108146375,3,5,2,"{'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.7777777777777778,0.7766990291262136,0.7549019607843137,0.7791164658634538,0.8547008547008547,0.7886392176505227,0.0342156811135765,97,0.8267270668176671,0.8103651354534747,0.7926829268292683,0.8401253918495298,0.831858407079646,0.8203517856059171,0.016907637205803912
0.02211155891418457,0.013076171379966223,0.020556831359863283,0.012425387228232223,3,5,5,"{'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 5}",0.7777777777777778,0.7766990291262136,0.7549019607843137,0.7791164658634538,0.8547008547008547,0.7886392176505227,0.0342156811135765,97,0.8267270668176671,0.8103651354534747,0.7926829268292683,0.8401253918495298,0.831858407079646,0.8203517856059171,0.016907637205803912
