Model,Accuracy,Precision_Safe_Class_1,Recall_Safe_Class_1,F1_Safe_Class_1,Recall_Unsafe_Class_0,False_Safe_Count,False_Unsafe_Count
KNN,0.8266666666666667,0.7722222222222223,0.9266666666666666,0.8424242424242424,0.7266666666666667,82,22
Decision Tree,0.8816666666666667,0.8397626112759644,0.9433333333333334,0.8885400313971743,0.82,54,17
SVM,0.8633333333333333,0.8449367088607594,0.89,0.8668831168831169,0.8366666666666667,49,33
