mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svm__C,param_svm__gamma,param_svm__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.052306413650512695,0.006488855602502029,0.020012855529785156,0.005687262988483923,0.1,scale,linear,"{'svm__C': 0.1, 'svm__gamma': 'scale', 'svm__kernel': 'linear'}",0.75,0.7627906976744186,0.7570093457943925,0.7733333333333333,0.7601809954751131,0.7606628744554514,0.007646509406374409,19,0.7764976958525346,0.7709750566893424,0.7697516930022573,0.765375854214123,0.7671232876712328,0.7699447174858981,0.003817731279026909
0.07422709465026855,0.009330479233880978,0.05037655830383301,0.00520729596839211,0.1,scale,rbf,"{'svm__C': 0.1, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.7542372881355932,0.7841409691629956,0.8053097345132744,0.8122270742358079,0.7829787234042553,0.7877787578903852,0.020329089230375925,12,0.8021857923497268,0.8004362050163577,0.7973997833152763,0.7946725860155383,0.8,0.7989388733393797,0.0026260419125512468
0.05149188041687012,0.0045223672234030055,0.016867446899414062,0.0012935126478565398,0.1,0.001,linear,"{'svm__C': 0.1, 'svm__gamma': 0.001, 'svm__kernel': 'linear'}",0.75,0.7627906976744186,0.7570093457943925,0.7733333333333333,0.7601809954751131,0.7606628744554514,0.007646509406374409,19,0.7764976958525346,0.7709750566893424,0.7697516930022573,0.765375854214123,0.7671232876712328,0.7699447174858981,0.003817731279026909
0.09717731475830078,0.009130828901526672,0.07780265808105469,0.008266493541820076,0.1,0.001,rbf,"{'svm__C': 0.1, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",0.7181818181818181,0.7207207207207207,0.75,0.7610619469026548,0.7565217391304347,0.7412972449871257,0.018198257695839822,38,0.7449664429530202,0.7447045707915273,0.7388392857142857,0.7340909090909091,0.7437641723356009,0.7412730761770686,0.004222050060623671
0.05947012901306152,0.006598138441340659,0.02184638977050781,0.004279224318551612,0.1,0.01,linear,"{'svm__C': 0.1, 'svm__gamma': 0.01, 'svm__kernel': 'linear'}",0.75,0.7627906976744186,0.7570093457943925,0.7733333333333333,0.7601809954751131,0.7606628744554514,0.007646509406374409,19,0.7764976958525346,0.7709750566893424,0.7697516930022573,0.765375854214123,0.7671232876712328,0.7699447174858981,0.003817731279026909
0.09251418113708496,0.010347218401022812,0.065983247756958,0.01259171598319406,0.1,0.01,rbf,"{'svm__C': 0.1, 'svm__gamma': 0.01, 'svm__kernel': 'rbf'}",0.7359307359307359,0.7410714285714286,0.7876106194690266,0.7739130434782608,0.7553648068669528,0.7587781268632809,0.019532329717795224,30,0.7680525164113785,0.7719298245614035,0.7627302275189599,0.7634763476347635,0.7744774477447744,0.7681332727742559,0.004594534424831437
0.06565995216369629,0.014321436299726953,0.020563411712646484,0.004303099047950212,0.1,0.1,linear,"{'svm__C': 0.1, 'svm__gamma': 0.1, 'svm__kernel': 'linear'}",0.75,0.7627906976744186,0.7570093457943925,0.7733333333333333,0.7601809954751131,0.7606628744554514,0.007646509406374409,19,0.7764976958525346,0.7709750566893424,0.7697516930022573,0.765375854214123,0.7671232876712328,0.7699447174858981,0.003817731279026909
0.08515524864196777,0.0025093084611802095,0.058590364456176755,0.0039342550048250624,0.1,0.1,rbf,"{'svm__C': 0.1, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.7563025210084033,0.7844827586206896,0.8122270742358079,0.8122270742358079,0.7932489451476793,0.7916976746496776,0.02073736169085518,9,0.8117519042437432,0.8081457663451233,0.8012820512820513,0.804851157662624,0.8056460369163952,0.8063353832899874,0.003487992963494534
0.05910205841064453,0.004302528664627853,0.019832897186279296,0.002493911893936921,0.1,1,linear,"{'svm__C': 0.1, 'svm__gamma': 1, 'svm__kernel': 'linear'}",0.75,0.7627906976744186,0.7570093457943925,0.7733333333333333,0.7601809954751131,0.7606628744554514,0.007646509406374409,19,0.7764976958525346,0.7709750566893424,0.7697516930022573,0.765375854214123,0.7671232876712328,0.7699447174858981,0.003817731279026909
0.11875681877136231,0.012101635466766932,0.08065624237060547,0.008570350696642831,0.1,1,rbf,"{'svm__C': 0.1, 'svm__gamma': 1, 'svm__kernel': 'rbf'}",0.7003154574132492,0.1791044776119403,0.752542372881356,0.7526132404181185,0.6942675159235668,0.6157686128496461,0.21973589931548737,40,0.9978308026030369,0.9978213507625272,0.998914223669924,0.9978308026030369,0.9967497291440953,0.9978293817565241,0.0006844852482073868
