mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_knn__metric,param_knn__n_neighbors,param_knn__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.01694002151489258,0.00244013382304708,0.4891913414001465,0.015082143924193051,euclidean,1,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 1, 'knn__weights': 'uniform'}",0.7655502392344498,0.7692307692307693,0.77,0.7263681592039801,0.784688995215311,0.763167632576902,0.01952685317971415,31,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.019338130950927734,0.004022290402058761,0.6215687751770019,0.059713560504598286,euclidean,1,distance,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 1, 'knn__weights': 'distance'}",0.7655502392344498,0.7692307692307693,0.77,0.7263681592039801,0.784688995215311,0.763167632576902,0.01952685317971415,31,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.02732686996459961,0.009974089676284333,0.2698906421661377,0.2894806981386811,euclidean,3,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 3, 'knn__weights': 'uniform'}",0.8,0.8333333333333334,0.8169014084507042,0.7655502392344498,0.8229665071770335,0.8077502976391042,0.023709405812763446,15,0.9033018867924528,0.8976190476190476,0.8912783751493429,0.8960573476702509,0.8933649289099526,0.8963243172282093,0.004114695304277174
0.029590892791748046,0.008021145667830729,0.026262807846069335,0.008047107695458596,euclidean,3,distance,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 3, 'knn__weights': 'distance'}",0.8,0.827906976744186,0.7942583732057417,0.7559808612440191,0.8229665071770335,0.8002225436741961,0.025599464953555143,26,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.021730375289916993,0.006623466397071744,0.023957252502441406,0.006707928880194282,euclidean,5,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 5, 'knn__weights': 'uniform'}",0.7963800904977375,0.8235294117647058,0.7889908256880734,0.7942583732057417,0.839622641509434,0.8085562685331386,0.01962044965948446,13,0.880648899188876,0.8617511520737328,0.8754448398576512,0.8716136631330977,0.8684516880093132,0.8715820484525342,0.00638084037283161
0.05670065879821777,0.07211115885099391,0.055007123947143556,0.06333195731528672,euclidean,5,distance,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 5, 'knn__weights': 'distance'}",0.7963800904977375,0.8235294117647058,0.7741935483870968,0.7942583732057417,0.8450704225352113,0.8066863692780986,0.024793069607365218,18,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.017925405502319337,0.003147781562282319,0.03714752197265625,0.013817036347872258,euclidean,7,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 7, 'knn__weights': 'uniform'}",0.7962962962962963,0.8425925925925926,0.7927927927927928,0.7870370370370371,0.819047619047619,0.8075532675532676,0.02061737688027827,16,0.8587699316628702,0.8465116279069768,0.8568075117370892,0.8538011695906432,0.8571428571428571,0.8546066196080873,0.0043540150351928635
0.01898784637451172,0.004525769232621549,0.03078150749206543,0.008716259219691044,euclidean,7,distance,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 7, 'knn__weights': 'distance'}",0.7962962962962963,0.8425925925925926,0.7927927927927928,0.783410138248848,0.8301886792452831,0.8090560998351626,0.023049101270920674,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.024036598205566407,0.010676186779760182,0.025333499908447264,0.006221866885768029,euclidean,9,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 9, 'knn__weights': 'uniform'}",0.8018018018018018,0.8416289592760181,0.7911111111111111,0.7926267281105991,0.8421052631578947,0.8138547726914851,0.023163219888881464,6,0.8545454545454545,0.8442906574394463,0.851764705882353,0.8524970963995354,0.8506271379703535,0.8507450104474286,0.003470605883078554
0.06842899322509766,0.10513533164960594,0.022272348403930664,0.005381033431675188,euclidean,9,distance,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 9, 'knn__weights': 'distance'}",0.8071748878923767,0.8416289592760181,0.7802690582959642,0.7870370370370371,0.8530805687203792,0.8138381022443552,0.028989236426758578,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
